pattern_id	pattern_ja	meaning_en	example_ja	example_en	common_mistake_ja	common_mistake_en	cultural_callout
n5-129		どうして〜か。〜から。 - Q-and-A reason pattern	どうして 来ませんでしたか。―あたまが いたかったからです。	Why didn't you come? - Because I had a headache.	どうして 来ませんでしたか。―ねつが あって。	Reason answers in formal speech end in ～からです, not just the bare clause.	どうして〜か。〜から。 is the canonical reason Q-A frame. In casual speech, how/why questions often drop どうして and use 〜の？/〜なの？ pattern instead. Formal speech (business, classroom) prefers どうしてですか.
n5-130		あげる / あげます - give (to others)	ともだちに 本を あげました。	I gave a book to my friend.	わたしは 田中さんが 本を あげました。	Recipient is marked with に, not が. Pattern: [giver] は [recipient] に [object] を あげる.	
n5-131		～に / から ～を もらいます - receive (from) (に for personal givers, から for institutional sources)	ともだちに 本を もらいました。	I received a book from a friend.	わたしから 友だちに 本を もらいました。 (when meaning 'a friend gave it to me')	もらう has the receiver as the topic. To put the giver first, use くれる instead.	
n5-132		～が～を くれます - give (to me / in-group)	友だちが 本を くれました。	A friend gave me a book.	ともだちが わたしに 本を あげました。	When THE SPEAKER (or in-group) is the recipient, Japanese requires くれる, not あげる.	
n5-133		Because (sentence connector - already covered)	あついから、まどを あけてください。	It's hot, so please open the window.	あついから まどを あけて くださいから。	から goes ONCE between cause and result, not at the end of both clauses.	
n5-134		～ので、～ - 'because' (softer than から)	あたまが いたいので、休みます。	I have a headache, so I'll rest.	あめので	Nouns and な-adj insert な before ので: 雨 → 雨なので.	〜ので (softer because) sounds more polite than 〜から. Business writing, formal apologies, and customer-facing scripts strongly prefer ので over から. Switching unconsciously to から in formal contexts marks foreign-learner speech.
n5-135		Verb (plain) + Noun - relative clauses (basic)	わたしが 買った 本	the book I bought	わたしが かいました 本	Use plain form (買った), never ました, in modifying clauses.	
n5-136		Adjective + noun (covered by い-adj+N and な-adj+N)	高い 山が 見えます。	I can see a tall mountain.	高いの本です。 / 静かの部屋です。	い-adjectives attach directly to nouns (高い+本 = 高い本). な-adjectives need な (静か+な+部屋 = 静かな部屋). The big mistake is inserting の between adjective and noun (Mandarin 的 transfer).	
n5-137		Noun の Noun (covered by ～の)	これは わたしの 本です。	This is my book.	日本 学校	Two nouns require の between them in modifier-modifier-of-noun position. Direct-juxtaposed compounds (日本人, 日本語) are exceptions where の is dropped by convention.	
n5-142		～にします - decide on / choose	コーヒーに します。	I'll have coffee.	コーヒーを します。	"Choose / decide on X" uses に, not を. を します means "do X" (action verb).	
n5-143		～になります / ～くなります - becomes	先生に なりたいです。	I want to become a teacher.	あついに なる	い-adj drop い and use くなる, not に.	
n5-144		Verb-stem + ながら - while doing (simultaneously)	おんがくを 聞きながら べんきょうします。	I study while listening to music.	Two different subjects with ながら	ながら requires the SAME subject. For two actors, use other connectors.	
n5-145		～と おもいます - I think (that)	あした 雨が ふると おもいます。	I think it'll rain tomorrow.	～です と おもいます	Use PLAIN form before と: noun + だ, い-adj + plain. Don't insert です.	
n5-146		～と 言いました - said that ~	「あした 来ます」と 言いました。	He said 'I'll come tomorrow'.	田中さんは 行くを 言いました。	Quotative particle is と, not を. Quoted clause stays in plain form before と (not 行くを).	
n5-147		Frequency adverbs: よく / ときどき / あまり / ぜんぜん	よく テレビを 見ます。	I often watch TV.	ぜんぜん 行きます。	ぜんぜん requires a negative verb.	
n5-148		いつも / たいてい / たまに - always / usually / occasionally	いつも 7時に おきます。	I always wake up at 7.	いつも 行きません。 (intent: "I never go")	いつも is "always"  -  does not pair with negation. Use ぜんぜん or just the negative verb for "never".	
n5-149		～を ください - please give me ~	みずを ください。	Water, please.	みず ください。	を is required between noun and ください in standard speech. Drop is colloquial only.	
n5-150		～を おねがいします - I'd like ~ / please give ~ (more polite than ください)	コーヒーを おねがいします。	Coffee, please.	コーヒーを ください。 (in restaurant ordering)	Both work, but おねがいします is more polite/standard for ordering at a restaurant or making polite requests.	
n5-151		～は いかがですか - how about ~? (polite offer)	おちゃは いかがですか。	How about some tea?	おちゃは どうですか。 (offering to a customer)	いかが is the polite form of どう. When offering to customers / superiors, use いかが.	
n5-152		Set polite phrases: どうぞ / どうも / すみません / おねがいします	どうぞ 入ってください。	Please come in.	ありがとう、 どうぞ。 (thanking)	どうぞ = "please go ahead / here you are" (offering). For "thanks", pair ありがとう with どうも, not どうぞ.	Set phrases (いらっしゃいませ, ありがとうございました, すみません) are SITUATIONAL: いらっしゃいませ is store-clerk-only (never use to greet a friend); すみません blurs "sorry" + "excuse me" + "thanks" — context decides meaning. Mastering set phrases is mastering Japanese register.
n5-153		まだ + Verb-ていません - not yet (an action that's still pending)	まだ あさごはんを たべていません。	I haven't eaten breakfast yet.	まだ たべませんでした	まだ pairs with ていません to mean 'not yet'. ませんでした is just past-negative.	と (with / and) for accompanying agent: "友だちと行きます" = "I go with a friend." NOT used for "with a tool/instrument" — that's で. Common error: "ペンと書きました" (wrong) vs "ペンで書きました" (correct, "wrote with a pen").
n5-154		もう + Verb-ました - already (action completed)	もう ばんごはんを たべました。	I've already eaten dinner.	もう 食べます。	もう = "already" requires past (～ました). Present tense もう食べます would mean "I'll eat now", not "already ate".	
n5-155		Mid-sentence が (but) - see particle が clause connector	コーヒーは すきですが、おちゃは すきじゃありません。	I like coffee, but I don't like tea.	むずかしいです。が おもしろいです。	Mid-sentence が attaches directly to the first clause; do NOT split into two sentences. Period before が breaks the connection.	
n5-156		Sentence-final ね / よ - see ね / よ entries	いい てんきですね。	Nice weather, isn't it?	日本に行きましたよね。 vs 日本に行きましたね。	ね alone seeks confirmation ('right?'). よね asserts AND seeks confirmation ('that's right, isn't it?'). Beginners use them interchangeably; native speakers calibrate by speaker confidence.	〜ね/〜よ are sentence-final particles that CHANGE conversational tone. ね seeks agreement ("いいですね" = "isn't it nice?"). よ adds informational punch ("行きますよ" = "I'm going, FYI"). Mixing them up creates rude or distant impressions. Native ears are very tuned to these.
n5-157		〜でしょう - probably / right?	あした 雨でしょう。	It'll probably rain tomorrow.	あした 雨ですでしょう。	でしょう attaches directly to the noun/adj/verb-plain form, NOT to です. です + でしょう is double-copula.	〜でしょう (probably / right?) is the polite hedge — a forecast on TV ("明日は雨でしょう") or a soft confirmation seeker. Casual equivalent is でしょ / だろう. Tone of voice changes meaning: rising でしょう？ = "isn't it?"; flat でしょう = "probably."
n5-158		Casual/plain version of でしょう	あした 雨だろう。	It'll probably rain tomorrow.	雨が降るだろうです。	だろう is the casual/plain form of でしょう; they don't combine. Use だろう alone in casual speech or でしょう alone in polite speech. Dropping だろう+です creates a non-existent register.	
n5-159		Polite ね/よ - see ね/よ entries	いい てんきですね。	Nice weather, isn't it?	いい てんきですよね。 (overuse)	よ asserts new info; ね seeks agreement. Stacking よね is colloquial and overused  -  pick one in clean speech.	
n5-160		Noun の あとで - see ～あと	しごとの あとで のみに 行きました。	I went for drinks after work.	しごと あとで 行きます。	Noun + あと requires の. (Verb-た + あとで does NOT take の: 食べた あとで.)	
n5-161		Noun の まえに - see ～まえ	ごはんの まえに てを あらいます。	I wash my hands before meals.	ごはん まえに てを あらいます。	Noun + まえ requires の. (Verb-plain + まえに does NOT take の: 食べる まえに.)	
n5-162		Verb-plain まえに - see ～まえ	出かける まえに、しんぶんを 読みます。	Before going out, I read the newspaper.	食べたまえに手を洗います。	Verb + まえに requires the DICTIONARY form (plain non-past), regardless of the tense of the main clause. Beginners use 〜たまえに mirroring 'before I ate', which is ungrammatical in Japanese.	
n5-163		Verb-た あとで - see ～あと	しごとが おわった あとで、 のみに 行きました。	After work finished, I went out drinking.	食べるあとで手を洗います。	Verb + あとで requires the た-form (past plain), regardless of the main clause tense. The mirror of n5-162: あと needs past, まえ needs non-past. Beginners swap them.	
n5-164		～さん - name suffix (Mr./Ms./equivalent)	田中さんは 先生です。	Tanaka-san is a teacher.	わたしは スミスさんです。	Don't put さん on your own name - it sounds bizarrely self-honorific.	
n5-165		お～ / ご～ - beautifying / honorific prefixes	おちゃを どうぞ。	Please have some tea.	お電話番号 -> ご電話番号	お~ attaches to native (和語) words; ご~ attaches to Sino-Japanese (漢語) words. 電話 is 漢語 so ご should win - but 電話 has been so thoroughly nativised that お電話 is the standard. Exception lists matter: お+和語, ご+漢語 with documented overrides.	
n5-166		Set greetings: いただきます / ごちそうさま / おはようございます etc.	いただきます！	Thanks for the food! (before eating)	ごはんを 食べる まえに 「ごちそうさま」	いただきます = before eating; ごちそうさま = after eating. Don't reverse them.	
n5-167		～んです / ～のです - explanation, emphasis, or asking for an explanation	あたまが いたいんです。	(It's because) I have a headache.	あたまが いたいんです。(used as a flat fact, e.g., when filling out a medical form)	んです carries an explanation/context nuance. Using it for a flat statement (e.g., on a form) sounds like the speaker is giving a reason no-one asked for. Reserve んです for contexts where you're explaining or reacting.	
n5-168		～たり〜たりする - do A and B (among other things)	しゅうまつは 本を 読んだり、えいがを 見たり します。	On weekends I do things like read books and watch movies.	本を読んだり、テレビを見ました。	～たり requires BOTH (or all) verbs to end in たり, plus する at the end. Beginners apply たり to one verb and use plain past on the other. The correct form is 'V-たり、V-たり (... する)'.	〜たり〜たり is the "for-example" list, NEVER a complete list. Saying "週末は本を読んだり、走ったりします" means "I do things like read and run" — leaving room for more. Listing everything with 〜て chain sounds exhaustive; たり is the natural conversational choice.
n5-169		Verb-た + ことが ある - have done before (experience)	日本へ 行ったことが あります。	I've been to Japan before.	日本に 行く ことが あります。 (intent: "have been to Japan")	Past experience requires the た-form before ことがある. Plain form 行く + ことがある means "sometimes go (habit)", a different meaning.	
n5-170		Verb-た + ほうが いい - should do	もう ねたほうが いいですよ。	You'd better go to bed already.	行く ほうが いいです。	Recommendations use the た-form: ～たほうがいい. Plain form ～ほうがいい is grammatical but sounds like a comparison ("the going option is better"), not advice.	〜た+ほうがいい (should do) is a strong RECOMMENDATION, not a casual suggestion. Used by parents/teachers/doctors giving advice. Among equals, soften further with 〜たほうがいいかもしれません ("might be better").
n5-171		Verb-ない + ほうが いい - shouldn't do	あまり 食べないほうが いいです。	You'd better not eat too much.	行かなく ほうが いいです。	Negative ほうがいい uses the plain ない form (行かない), not the て-form ない (行かなくて).	〜ない+ほうがいい (shouldn't do) has STRONG implications when delivered directly. Doctors prescribing ("お酒を飲まないほうがいいです"), parents warning. To deliver gently to peers, add ね or qualifications ("〜ないほうがいいと思いますけど").
n5-172		～なくても いい - don't have to	あした 来なくても いいです。	You don't have to come tomorrow.	行かなくて いいです。	The set phrase requires も between なくて and いい: ～なくても いい. Without も it sounds like "don't go and it's fine".	
n5-173		～なくては いけない - must do	まいにち べんきょうしなくては いけない。	I must study every day.	行きなくては いけません。	～なくては attaches to the negative-stem (ない-form base): 行か + なくては. NOT to the polite-stem 行き.	
n5-174		Must do (formal variant - same as いけない)	しゅくだいを しなくては ならない。	I must do my homework.	行かないと ならない。	～と pairs with いけない, not ならない. Mismatch: ～なくては + ならない/いけない (both OK); ～ないと + いけない (only).	
n5-175		Must do (common spoken variant)	はやく かえらないと いけない。	I must go home soon.	しゅくだいを しないと なりません。	～ないと idiomatically pairs with いけない/いけません (more colloquial), not ならない. (See n5-174.)	
n5-176		Must do (casual contractions)	もう 行かなくちゃ。	I have to go now.	行かなくちゃです。	なくちゃ / なきゃ are casual contractions - they don't combine with です. The full polite form is 〜なければなりません. Beginners try to politify a contraction by adding です, which sounds wrong.	
n5-177		Verb-stem / Adj-stem + すぎる - too much / excessive	きのう たべすぎました。	I ate too much yesterday.	食べてすぎました。	～すぎる attaches to verb-STEM (the ます-form minus ます), not to the て-form. 食べる -> 食べ + すぎる -> 食べすぎる. Adjectives use the root: 高い -> 高すぎる; 静か -> 静かすぎる.	
n5-178		Verb-plain + つもりだ - intend to	あした 行くつもりです。	I plan to go tomorrow.	行きます つもりです。	つもり attaches to the PLAIN form (行く), not the polite form (行きます).	
n5-179		～って - casual quotation marker / topic introducer	「あした 来る」って 言いました。	He said 'I'll come tomorrow'.	田中さんって田中先生のこと。	って is a casual contraction of という / と言って. In formal speech / writing it sounds slangy. Beginners overuse って in formal contexts where と言う is appropriate.	
n5-180		Verb-stem + ～かた - way of doing	この かんじの 読みかたは なんですか。	How do you read this kanji?	読むかた	～かた attaches to the verb-STEM (ます-form base), not the dictionary form. 読む → 読み + かた.	
n5-181		～なあ - sentence-final exclamation ('I really feel...')	おいしいなあ。	Mmm, this is good.	寒いなあですね。	なあ is a sentence-final exclamation particle; it doesn't combine with です. Either use the exclamation alone (casual) or use the polite ですね (no exclamation). Mixing them ('exclamation + politeness') sounds awkward.	
n5-182		Verb-plain + な - strong/casual prohibition ("don't!")	行くな！	Don't go!	Using 〜な with strangers / superiors.	〜な is harsh and casual - only with very close friends, kids, or in shouts.	
n5-183		Question word + か / も - 'something / anyone' compounds	なにか たべたいです。	I want to eat something.	なに か 食べません。	With negative verbs, use なにも (nothing). なにか + negative is ungrammatical.	
n5-184		Something / nothing - see compound rule	なにか たべたいです。	I want to eat something.	なにか 食べません。	なにか pairs with affirmative ("eat something"); なにも with negative ("eat nothing"). Don't mix.	
n5-185		Someone / no one	だれか いますか。	Is anyone there?	だれか 来ませんでした。	With negative verbs, use だれも (nobody). だれか + negative shifts meaning to "didn't someone come?", which is awkward in N5.	
n5-186		Somewhere / nowhere	どこかへ いきたいです。	I want to go somewhere.	どこか 行きません。	With negative, どこも = "(go) nowhere". どこか + negative is ungrammatical.	
n5-187		Sometime / always	いつか にほんへ いきたいです。	Someday I want to go to Japan.	いつも 日本に 行きたいです。 (intent: "someday")	いつも = "always" (every time); いつか = "someday / sometime in the future". For aspirations, use いつか.	
n5-188		Verb (plain dictionary) + ことができます - can do (productive can-do form)	日本語を 話す ことが できます。	I can speak Japanese.	日本語が 話す ことが できます。	Within the こと-clause, 話す takes its normal object marker を; only the outer こと takes が. The が is on こと, not on the verb's object.	V+ことができます is the "formal/written" potential. Spoken Japanese strongly prefers the inflected potential form (食べられる) instead. Use ことができます in resumes, formal letters, and on capability-statement signs.
