form	reading	gloss_en	gloss_hi	pos	section	example_ja	example_en	audio_path	vocab_id
ゆうびんきょく	ゆうびんきょく	post office	डाकघर	noun	13. Locations and Places (general)	ゆうびんきょくで きってを 買います。	I buy stamps at the post office.		n5.vocab.13-locations-and-places-.ゆうびんきょく
会社	かいしゃ	company	कंपनी	noun	13. Locations and Places (general)	父は 会社で はたらきます。	My father works at a company.		n5.vocab.13-locations-and-places-.会社
じむしょ	じむしょ	office	कार्यालय	noun	13. Locations and Places (general)	じむしょは 二かいです。	The office is on the 2nd floor.		n5.vocab.13-locations-and-places-.じむしょ
お店	おみせ	shop	दुकान	noun	13. Locations and Places (general)	お店で 買いものを します。	I shop at the store.		n5.vocab.13-locations-and-places-.お店
スーパー	スーパー	supermarket	सुपरमार्केट	noun	13. Locations and Places (general)	スーパーで パンを 買います。	I buy bread at the supermarket.		n5.vocab.13-locations-and-places-.スーパー
デパート	デパート	department store	डिपार्टमेंट स्टोर	noun	13. Locations and Places (general)	デパートで かいものを します。	I shop at the department store.		n5.vocab.13-locations-and-places-.デパート
きっさてん	きっさてん	café	कैफ़े	noun	13. Locations and Places (general)	きっさてんで おちゃを 飲みました。	I drank tea at the cafe.		n5.vocab.13-locations-and-places-.きっさてん
レストラン	レストラン	restaurant	रेस्तरां	noun	13. Locations and Places (general)	レストランで ばんごはんを 食べました。	I ate dinner at a restaurant.		n5.vocab.13-locations-and-places-.レストラン
やおや	やおや	greengrocer	सब्ज़ीवाला	noun	13. Locations and Places (general)	やおやで やさいを 買います。	I buy vegetables at the greengrocer.		n5.vocab.13-locations-and-places-.やおや
ほんや	ほんや	bookstore	पुस्तक की दुकान	noun	13. Locations and Places (general)	ほんやで 本を 買いました。	I bought a book at the bookstore.		n5.vocab.13-locations-and-places-.ほんや
はなや	はなや	flower shop	फूल की दुकान	noun	13. Locations and Places (general)	はなやで 花を 買います。	I buy flowers at the florist.		n5.vocab.13-locations-and-places-.はなや
にくや	にくや	butcher	कसाई	noun	13. Locations and Places (general)	にくやで にくを 買います。	I buy meat at the butcher.		n5.vocab.13-locations-and-places-.にくや
パンや	パンや	bakery	बेकरी	noun	13. Locations and Places (general)	パンやで パンを 買いました。	I bought bread at the bakery.		n5.vocab.13-locations-and-places-.パンや
駅	えき	station	स्टेशन	noun	13. Locations and Places (general)	えきで 友だちに 会います。	I meet my friend at the station.		n5.vocab.13-locations-and-places-.駅
くうこう	くうこう	airport	हवाई अड्डा	noun	13. Locations and Places (general)	くうこうで ともだちを むかえます。	I'll meet my friend at the airport.		n5.vocab.13-locations-and-places-.くうこう
こうえん	こうえん	park	पार्क	noun	13. Locations and Places (general)	こうえんで あそびます。	I play in the park.		n5.vocab.13-locations-and-places-.こうえん
どうぶつえん	どうぶつえん	zoo	चिड़ियाघर	noun	13. Locations and Places (general)	どうぶつえんで パンダを 見ました。	I saw a panda at the zoo.		n5.vocab.13-locations-and-places-.どうぶつえん
びじゅつかん	びじゅつかん	art museum	कला संग्रहालय	noun	13. Locations and Places (general)	びじゅつかんで えを 見ます。	I look at paintings at the art museum.		n5.vocab.13-locations-and-places-.びじゅつかん
えいがかん	えいがかん	movie theater	सिनेमाघर	noun	13. Locations and Places (general)	えいがかんで えいがを 見ます。	I watch movies at the theater.		n5.vocab.13-locations-and-places-.えいがかん
ホテル	ホテル	hotel	होटल	noun	13. Locations and Places (general)	ホテルに とまります。	I'll stay at the hotel.		n5.vocab.13-locations-and-places-.ホテル
りょかん	りょかん	Japanese inn	जापानी सराय	noun	13. Locations and Places (general)	りょかんで 一ぱく しました。	I stayed one night at a Japanese inn.		n5.vocab.13-locations-and-places-.りょかん
たいしかん	たいしかん	embassy	दूतावास	noun	13. Locations and Places (general)	日本の たいしかんは どこですか。	Where is the Japanese embassy?		n5.vocab.13-locations-and-places-.たいしかん
こうばん	こうばん	police box	पुलिस-चौकी	noun	13. Locations and Places (general)	こうばんで みちを 聞きます。	I ask for directions at the police box.		n5.vocab.13-locations-and-places-.こうばん
こうじょう	こうじょう	factory	कारख़ाना	noun	13. Locations and Places (general)	父は こうじょうで はたらきます。	My father works at a factory.		n5.vocab.13-locations-and-places-.こうじょう
こうさてん	こうさてん	intersection	चौराहा	noun	13. Locations and Places (general)	こうさてんで まがります。	I turn at the intersection.		n5.vocab.13-locations-and-places-.こうさてん
いりぐち	いりぐち	entrance, entry	प्रवेश	noun	13. Locations and Places (general)	いりぐちは あちらです。	The entrance is over there.		n5.vocab.13-locations-and-places-.いりぐち
しょくどう	しょくどう	cafeteria, dining room	भोजनालय	noun	13. Locations and Places (general)	しょくどうで ひるごはんを 食べます。	I eat lunch in the cafeteria.		n5.vocab.13-locations-and-places-.しょくどう
たてもの	たてもの	building	इमारत	noun	13. Locations and Places (general)	あの たてものは 大学です。	That building is a university.		n5.vocab.13-locations-and-places-.たてもの
ろうか	ろうか	hallway, corridor	गलियारा	noun	13. Locations and Places (general)	ろうかで 走らないで ください。	Don't run in the hallway.		n5.vocab.13-locations-and-places-.ろうか
プール	プール	swimming pool	स्विमिंग पूल	noun	13. Locations and Places (general)	プールで およぎます。	I swim in the pool.		n5.vocab.13-locations-and-places-.プール
ポスト	ポスト	post (mailbox)	डाकपेटी	noun	13. Locations and Places (general)	ポストに てがみを 入れます。	I put a letter in the mailbox.		n5.vocab.13-locations-and-places-.ポスト
道	みち	road, way	रास्ता	noun	13. Locations and Places (general)	道を わたります。	I cross the road.		n5.vocab.13-locations-and-places-.道
とおり	とおり	street	सड़क	noun	13. Locations and Places (general)	この とおりは にぎやかです。	This street is lively.		n5.vocab.13-locations-and-places-.とおり
かど	かど	corner	कोना	noun	13. Locations and Places (general)	かどを みぎに まがります。	Turn right at the corner.		n5.vocab.13-locations-and-places-.かど
はし	はし	bridge	पुल	noun	13. Locations and Places (general)	はしを わたります。	I cross the bridge.		n5.vocab.13-locations-and-places-.はし
まち	まち	town	शहर	noun	13. Locations and Places (general)	まちは にぎやかです。	The town is lively.		n5.vocab.13-locations-and-places-.まち
むら	むら	village	गाँव	noun	13. Locations and Places (general)	小さい むらに すんで います。	I live in a small village.		n5.vocab.13-locations-and-places-.むら
国	くに	country	देश	noun	13. Locations and Places (general)	わたしの 国は 大きいです。	My country is big.		n5.vocab.13-locations-and-places-.国
外	そと	outside	बाहर	noun	13. Locations and Places (general)	外は さむいです。	It's cold outside.		n5.vocab.13-locations-and-places-.外
中	なか	inside, middle	अंदर / बीच	noun	13. Locations and Places (general)	かばんの 中に 本が あります。	There is a book in the bag.		n5.vocab.13-locations-and-places-.中
上	うえ	top, above	ऊपर	noun	13. Locations and Places (general)	つくえの 上に 本が あります。	A book is on the desk.		n5.vocab.13-locations-and-places-.上
下	した	under, below	नीचे	noun	13. Locations and Places (general)	いすの 下に ねこが います。	A cat is under the chair.		n5.vocab.13-locations-and-places-.下
前	まえ	front	पहले / सामने	noun	13. Locations and Places (general)	えきの 前で 会いましょう。	Let's meet in front of the station.		n5.vocab.13-locations-and-places-.前
後ろ	うしろ	back, behind	पीछे	noun	13. Locations and Places (general)	わたしの 後ろに 田中さんが います。	Tanaka-san is behind me.		n5.vocab.13-locations-and-places-.後ろ
左	ひだり	left	बाएँ	noun	13. Locations and Places (general)	左に 学校が あります。	The school is on the left.		n5.vocab.13-locations-and-places-.左
右	みぎ	right	दाएँ	noun	13. Locations and Places (general)	右に スーパーが あります。	There's a supermarket on the right.		n5.vocab.13-locations-and-places-.右
となり	となり	next to	बगल में	noun	13. Locations and Places (general)	となりに 友だちが すんで います。	My friend lives next door.		n5.vocab.13-locations-and-places-.となり
よこ	よこ	side	किनारा	noun	13. Locations and Places (general)	テーブルの よこに いすが あります。	There's a chair next to the table.		n5.vocab.13-locations-and-places-.よこ
ちかく	ちかく	near	पास	noun	13. Locations and Places (general)	家の ちかくに スーパーが あります。	There's a supermarket near my house.		n5.vocab.13-locations-and-places-.ちかく
とおく	とおく	far	दूर	noun	13. Locations and Places (general)	とおくに 山が 見えます。	I can see mountains in the distance.		n5.vocab.13-locations-and-places-.とおく
むこう	むこう	over there, beyond	उस पार	noun	13. Locations and Places (general)	むこうに 大きい ビルが あります。	There's a big building over there.		n5.vocab.13-locations-and-places-.むこう
北	きた	north	उत्तर	noun	13. Locations and Places (general)	北は さむいです。	The north is cold.		n5.vocab.13-locations-and-places-.北
南	みなみ	south	दक्षिण	noun	13. Locations and Places (general)	南は あついです。	The south is hot.		n5.vocab.13-locations-and-places-.南
東	ひがし	east	पूर्व	noun	13. Locations and Places (general)	東に 山が あります。	There are mountains to the east.		n5.vocab.13-locations-and-places-.東
西	にし	west	पश्चिम	noun	13. Locations and Places (general)	西に 海が あります。	There's the sea to the west.		n5.vocab.13-locations-and-places-.西
山	やま	mountain	पर्वत	noun	14. Nature and Weather	山に のぼります。	I climb the mountain.		n5.vocab.14-nature-and-weather.山
川	かわ	river	नदी	noun	14. Nature and Weather	川で およぎます。	I swim in the river.		n5.vocab.14-nature-and-weather.川
うみ	うみ	sea, ocean	समुद्र	noun	14. Nature and Weather	夏に うみで およぎます。	I swim in the sea in summer.		n5.vocab.14-nature-and-weather.うみ
いけ	いけ	pond	तालाब	noun	14. Nature and Weather	こうえんに いけが あります。	There's a pond in the park.		n5.vocab.14-nature-and-weather.いけ
みずうみ	みずうみ	lake	झील	noun	14. Nature and Weather	みずうみで およぎました。	I swam in the lake.		n5.vocab.14-nature-and-weather.みずうみ
もり	もり	forest	जंगल	noun	14. Nature and Weather	もりに 入ります。	I enter the forest.		n5.vocab.14-nature-and-weather.もり
木	き	tree	पेड़	noun	14. Nature and Weather	こうえんに 大きい 木が あります。	There's a big tree in the park.		n5.vocab.14-nature-and-weather.木
花	はな	flower	फूल	noun	14. Nature and Weather	花が きれいに さきました。	The flowers bloomed beautifully.		n5.vocab.14-nature-and-weather.花
くさ	くさ	grass	घास	noun	14. Nature and Weather	にわに くさが はえて います。	Grass is growing in the garden.		n5.vocab.14-nature-and-weather.くさ
は	は	leaf	पत्ता	noun	14. Nature and Weather	木の はが おちました。	A tree leaf fell.		n5.vocab.14-nature-and-weather.は
いし	いし	stone	पत्थर	noun	14. Nature and Weather	道に 大きい いしが あります。	There's a big stone on the road.		n5.vocab.14-nature-and-weather.いし
田	た	rice field	धान का खेत	noun	14. Nature and Weather	田の 中で 米を つくります。	They grow rice in the rice field.		n5.vocab.14-nature-and-weather.田
空	そら	sky	आकाश	noun	14. Nature and Weather	そらが あおいです。	The sky is blue.		n5.vocab.14-nature-and-weather.空
くも	くも	cloud	बादल	noun	14. Nature and Weather	そらに くもが あります。	There are clouds in the sky.		n5.vocab.14-nature-and-weather.くも
たいよう	たいよう	sun	सूरज	noun	14. Nature and Weather	たいようが 出ました。	The sun came out.		n5.vocab.14-nature-and-weather.たいよう
月	つき	moon	चाँद	noun	14. Nature and Weather	よる、つきが きれいです。	The moon is pretty at night.		n5.vocab.14-nature-and-weather.月
ほし	ほし	star	तारा	noun	14. Nature and Weather	よる、ほしを 見ます。	I look at stars at night.		n5.vocab.14-nature-and-weather.ほし
雨	あめ	rain	बारिश	noun	14. Nature and Weather	今日は 雨です。	It's raining today.		n5.vocab.14-nature-and-weather.雨
ゆき	ゆき	snow	बर्फ़	noun	14. Nature and Weather	冬は ゆきが ふります。	It snows in winter.		n5.vocab.14-nature-and-weather.ゆき
かぜ	かぜ	wind	हवा	noun	14. Nature and Weather	今日は かぜが つよいです。	The wind is strong today.		n5.vocab.14-nature-and-weather.かぜ
天気	てんき	weather	मौसम	noun	14. Nature and Weather	今日の てんきは いいです。	Today's weather is good.		n5.vocab.14-nature-and-weather.天気
はれ	はれ	clear weather	धूप / साफ़ मौसम	noun	14. Nature and Weather	今日は はれです。	It's clear today.		n5.vocab.14-nature-and-weather.はれ
くもり	くもり	cloudy	बादलों भरा	noun	14. Nature and Weather	あした くもりです。	Tomorrow will be cloudy.		n5.vocab.14-nature-and-weather.くもり
はる	はる	spring	वसंत	noun	14. Nature and Weather	はるは あたたかいです。	Spring is warm.		n5.vocab.14-nature-and-weather.はる
なつ	なつ	summer	गर्मी	noun	14. Nature and Weather	なつは あついです。	Summer is hot.		n5.vocab.14-nature-and-weather.なつ
あき	あき	autumn	पतझड़	noun	14. Nature and Weather	あきは すずしいです。	Autumn is cool.		n5.vocab.14-nature-and-weather.あき
ふゆ	ふゆ	winter	सर्दी	noun	14. Nature and Weather	ふゆは ゆきが ふります。	It snows in winter.		n5.vocab.14-nature-and-weather.ふゆ
あつい	あつい	hot (weather)	गरम (मौसम)	i-adj	14. Nature and Weather	夏は とても あついです。	Summer is very hot.		n5.vocab.14-nature-and-weather.あつい
さむい	さむい	cold (weather)	ठंडा (मौसम)	i-adj	14. Nature and Weather	冬は さむいです。	Winter is cold.		n5.vocab.14-nature-and-weather.さむい
すずしい	すずしい	cool	ठंडक भरा	i-adj	14. Nature and Weather	あきは すずしいです。	Autumn is cool.		n5.vocab.14-nature-and-weather.すずしい
あたたかい	あたたかい	warm	गरम / गुनगुना	i-adj	14. Nature and Weather	はるは あたたかいです。	Spring is warm.		n5.vocab.14-nature-and-weather.あたたかい
火	ひ	fire	आग	noun	14. Nature and Weather	火に 気を つけて ください。	Please be careful with fire.		n5.vocab.14-nature-and-weather.火
水	みず	water (cold)	पानी	noun	14. Nature and Weather	水を 飲みます。	I drink water.		n5.vocab.14-nature-and-weather.水
おゆ	おゆ	hot water	गरम पानी	noun	14. Nature and Weather	おゆを わかします。	I boil water.		n5.vocab.14-nature-and-weather.おゆ
どうぶつ	どうぶつ	animal	जानवर	noun	15. Animals	どうぶつが 大すきです。	I love animals.		n5.vocab.15-animals.どうぶつ
いぬ	いぬ	dog	कुत्ता	noun	15. Animals	いぬが すきです。	I like dogs.		n5.vocab.15-animals.いぬ
ねこ	ねこ	cat	बिल्ली	noun	15. Animals	ねこが いえに います。	There's a cat at home.		n5.vocab.15-animals.ねこ
とり	とり	bird	पक्षी	noun	15. Animals	そらに とりが とんで います。	A bird is flying in the sky.		n5.vocab.15-animals.とり
さかな	さかな	fish	मछली	noun	15. Animals	さかなを 食べます。	I eat fish.		n5.vocab.15-animals.さかな
うま	うま	horse	घोड़ा	noun	15. Animals	うまは 大きい どうぶつです。	A horse is a big animal.		n5.vocab.15-animals.うま
うし	うし	cow	गाय	noun	15. Animals	うしの にくを 食べました。	I ate beef.		n5.vocab.15-animals.うし
ぶた	ぶた	pig	सूअर	noun	15. Animals	ぶたは かわいいです。	Pigs are cute.		n5.vocab.15-animals.ぶた
にわとり	にわとり	chicken	मुर्गी	noun	15. Animals	にわとりが たまごを うみます。	Hens lay eggs.		n5.vocab.15-animals.にわとり
ぞう	ぞう	elephant	हाथी	noun	15. Animals	ぞうは とても 大きいです。	Elephants are very big.		n5.vocab.15-animals.ぞう
むし	むし	insect	कीट	noun	15. Animals	にわに むしが います。	There are insects in the garden.		n5.vocab.15-animals.むし
たべもの	たべもの	food	भोजन	noun	16. Food and Drink - General	日本の たべものが すきです。	I like Japanese food.		n5.vocab.16-food-and-drink-genera.たべもの
のみもの	のみもの	drink	पेय	noun	16. Food and Drink - General	のみものは 何が いいですか。	What would you like to drink?		n5.vocab.16-food-and-drink-genera.のみもの
あさごはん	あさごはん	breakfast	नाश्ता	noun	16. Food and Drink - General	あさごはんは パンでした。	Breakfast was bread.		n5.vocab.16-food-and-drink-genera.あさごはん
ひるごはん	ひるごはん	lunch	दोपहर का खाना	noun	16. Food and Drink - General	ひるごはんを 食べましょう。	Let's eat lunch.		n5.vocab.16-food-and-drink-genera.ひるごはん
ばんごはん	ばんごはん	dinner	रात का खाना	noun	16. Food and Drink - General	ばんごはんは 七時です。	Dinner is at seven.		n5.vocab.16-food-and-drink-genera.ばんごはん
ゆうはん	ゆうはん	dinner (alternate)	रात का खाना (वैक.)	noun	16. Food and Drink - General	ゆうはんは すしを 食べました。	I ate sushi for dinner.		n5.vocab.16-food-and-drink-genera.ゆうはん
ごはん	ごはん	rice, meal	भात / भोजन	noun	16. Food and Drink - General	あさごはんを 食べました。	I ate breakfast.		n5.vocab.16-food-and-drink-genera.ごはん
しょくじ	しょくじ	meal	भोजन	noun	16. Food and Drink - General	しょくじの じかんです。	It's mealtime.		n5.vocab.16-food-and-drink-genera.しょくじ
おべんとう	おべんとう	boxed lunch	टिफ़िन	noun	16. Food and Drink - General	おべんとうを もって 行きます。	I bring a packed lunch.		n5.vocab.16-food-and-drink-genera.おべんとう
おかし	おかし	sweets, snacks	मिठाई / नाश्ता	noun	16. Food and Drink - General	おかしを 食べます。	I eat sweets.		n5.vocab.16-food-and-drink-genera.おかし
パン	パン	bread	रोटी (पाव)	noun	17. Food - Items	あさ、パンを 食べます。	I eat bread in the morning.		n5.vocab.17-food-items.パン
たまご	たまご	egg	अंडा	noun	17. Food - Items	たまごを 二つ ください。	Two eggs please.		n5.vocab.17-food-items.たまご
にく	にく	meat	मांस	noun	17. Food - Items	にくを 食べます。	I eat meat.		n5.vocab.17-food-items.にく
ぎゅうにく	ぎゅうにく	beef	गोमांस	noun	17. Food - Items	ぎゅうにくは 高いです。	Beef is expensive.		n5.vocab.17-food-items.ぎゅうにく
ぶたにく	ぶたにく	pork	सूअर का मांस	noun	17. Food - Items	ぶたにくを 食べます。	I eat pork.		n5.vocab.17-food-items.ぶたにく
とりにく	とりにく	chicken (meat)	मुर्गी का मांस	noun	17. Food - Items	とりにくは あっさりして います。	Chicken is light/mild.		n5.vocab.17-food-items.とりにく
やさい	やさい	vegetable	सब्ज़ी	noun	17. Food - Items	やさいを たくさん 食べます。	I eat lots of vegetables.		n5.vocab.17-food-items.やさい
くだもの	くだもの	fruit	फल	noun	17. Food - Items	くだものが すきです。	I like fruit.		n5.vocab.17-food-items.くだもの
りんご	りんご	apple	सेब	noun	17. Food - Items	りんごは あかいです。	Apples are red.		n5.vocab.17-food-items.りんご
みかん	みかん	mandarin orange	संतरा	noun	17. Food - Items	みかんを 食べます。	I eat mandarin oranges.		n5.vocab.17-food-items.みかん
バナナ	バナナ	banana	केला	noun	17. Food - Items	バナナは きいろいです。	Bananas are yellow.		n5.vocab.17-food-items.バナナ
いちご	いちご	strawberry	स्ट्रॉबेरी	noun	17. Food - Items	いちごは あまいです。	Strawberries are sweet.		n5.vocab.17-food-items.いちご
ぶどう	ぶどう	grape	अंगूर	noun	17. Food - Items	ぶどうを 買いました。	I bought grapes.		n5.vocab.17-food-items.ぶどう
すいか	すいか	watermelon	तरबूज़	noun	17. Food - Items	夏は すいかが おいしいです。	Watermelon is tasty in summer.		n5.vocab.17-food-items.すいか
レモン	レモン	lemon	नींबू	noun	17. Food - Items	レモンは すっぱいです。	Lemons are sour.		n5.vocab.17-food-items.レモン
だいこん	だいこん	daikon radish	मूली	noun	17. Food - Items	だいこんで サラダを つくります。	I make salad with daikon.		n5.vocab.17-food-items.だいこん
にんじん	にんじん	carrot	गाजर	noun	17. Food - Items	にんじんは あかい やさいです。	Carrots are red vegetables.		n5.vocab.17-food-items.にんじん
たまねぎ	たまねぎ	onion	प्याज़	noun	17. Food - Items	たまねぎを 切ります。	I cut onions.		n5.vocab.17-food-items.たまねぎ
じゃがいも	じゃがいも	potato	आलू	noun	17. Food - Items	じゃがいもを 入れて ください。	Please add potatoes.		n5.vocab.17-food-items.じゃがいも
トマト	トマト	tomato	टमाटर	noun	17. Food - Items	トマトは あかい くだものです。	Tomatoes are red.		n5.vocab.17-food-items.トマト
きゅうり	きゅうり	cucumber	खीरा	noun	17. Food - Items	きゅうりを サラダに 入れます。	I put cucumber in the salad.		n5.vocab.17-food-items.きゅうり
キャベツ	キャベツ	cabbage	पत्तागोभी	noun	17. Food - Items	キャベツを 切ります。	I cut cabbage.		n5.vocab.17-food-items.キャベツ
こめ	こめ	uncooked rice	कच्चा चावल	noun	17. Food - Items	こめは 日本の しゅしょくです。	Rice is the staple food in Japan.		n5.vocab.17-food-items.こめ
しお	しお	salt	नमक	noun	17. Food - Items	しおを 入れて ください。	Please add salt.		n5.vocab.17-food-items.しお
さとう	さとう	sugar	चीनी	noun	17. Food - Items	コーヒーに さとうを 入れます。	I put sugar in my coffee.		n5.vocab.17-food-items.さとう
しょうゆ	しょうゆ	soy sauce	सोया सॉस	noun	17. Food - Items	すしに しょうゆを つけます。	I dip sushi in soy sauce.		n5.vocab.17-food-items.しょうゆ
みそ	みそ	miso	मिसो	noun	17. Food - Items	みそしるが すきです。	I like miso soup.		n5.vocab.17-food-items.みそ
バター	バター	butter	मक्खन	noun	17. Food - Items	パンに バターを ぬります。	I spread butter on bread.		n5.vocab.17-food-items.バター
チーズ	チーズ	cheese	चीज़	noun	17. Food - Items	チーズが すきです。	I like cheese.		n5.vocab.17-food-items.チーズ
すし	すし	sushi	सुशी	noun	17. Food - Items	日曜日に すしを 食べます。	I eat sushi on Sunday.		n5.vocab.17-food-items.すし
天ぷら	てんぷら	tempura	टेम्पुरा	noun	17. Food - Items	てんぷらは おいしいです。	Tempura is delicious.		n5.vocab.17-food-items.天ぷら
カレー	カレー	curry	करी	noun	17. Food - Items	夕ごはんは カレーです。	Dinner is curry.		n5.vocab.17-food-items.カレー
ラーメン	ラーメン	ramen	रामेन	noun	17. Food - Items	ラーメンを 食べました。	I ate ramen.		n5.vocab.17-food-items.ラーメン
うどん	うどん	udon	उडोन	noun	17. Food - Items	うどんを 食べます。	I eat udon.		n5.vocab.17-food-items.うどん
そば	そば	soba	सोबा	noun	17. Food - Items	おみそかに そばを 食べます。	I eat soba on New Year's Eve.		n5.vocab.17-food-items.そば
ハンバーガー	ハンバーガー	hamburger	हैमबर्गर	noun	17. Food - Items	ハンバーガーを 二つ ください。	Two hamburgers please.		n5.vocab.17-food-items.ハンバーガー
サンドイッチ	サンドイッチ	sandwich	सैंडविच	noun	17. Food - Items	サンドイッチを 食べました。	I ate a sandwich.		n5.vocab.17-food-items.サンドイッチ
サラダ	サラダ	salad	सलाद	noun	17. Food - Items	サラダが すきです。	I like salad.		n5.vocab.17-food-items.サラダ
スープ	スープ	soup	सूप	noun	17. Food - Items	スープを 飲みます。	I have soup.		n5.vocab.17-food-items.スープ
ケーキ	ケーキ	cake	केक	noun	17. Food - Items	たんじょうびに ケーキを 食べます。	I eat cake on my birthday.		n5.vocab.17-food-items.ケーキ
アイスクリーム	アイスクリーム	ice cream	आइसक्रीम	noun	17. Food - Items	夏は アイスクリームが おいしいです。	Ice cream is delicious in summer.		n5.vocab.17-food-items.アイスクリーム
チョコレート	チョコレート	chocolate	चॉकलेट	noun	17. Food - Items	チョコレートが すきです。	I like chocolate.		n5.vocab.17-food-items.チョコレート
あめ	あめ	candy (homophone of 雨 "rain")	मिठाई / गोली	noun	17. Food - Items	あめを 一つ 買いました。	I bought one piece of candy.		n5.vocab.17-food-items.あめ
おちゃ	おちゃ	tea, green tea (Japanese tea)	चाय / जापानी चाय	noun	18. Drinks	おちゃを 飲みましょう。	Let's drink tea.		n5.vocab.18-drinks.おちゃ
こうちゃ	こうちゃ	black tea	काली चाय	noun	18. Drinks	こうちゃを 飲みます。	I drink black tea.		n5.vocab.18-drinks.こうちゃ
コーヒー	コーヒー	coffee	कॉफ़ी	noun	18. Drinks	あさ、コーヒーを 飲みます。	I drink coffee in the morning.		n5.vocab.18-drinks.コーヒー
ぎゅうにゅう	ぎゅうにゅう	milk (also commonly: ミルク)	दूध	noun	18. Drinks	ぎゅうにゅうを 飲みます。	I drink milk.		n5.vocab.18-drinks.ぎゅうにゅう
ジュース	ジュース	juice	जूस	noun	18. Drinks	ジュースを 三本 ください。	Three juices please.		n5.vocab.18-drinks.ジュース
おさけ	おさけ	alcohol, sake	शराब / साके	noun	18. Drinks	おさけを 飲みません。	I don't drink alcohol.		n5.vocab.18-drinks.おさけ
ビール	ビール	beer	बियर	noun	18. Drinks	ばんに ビールを 飲みます。	I drink beer in the evening.		n5.vocab.18-drinks.ビール
ワイン	ワイン	wine	वाइन	noun	18. Drinks	ワインは おいしいです。	Wine is delicious.		n5.vocab.18-drinks.ワイン
さら	さら	plate	थाली	noun	19. Tableware and Cooking	さらに りょうりを のせます。	I put the food on a plate.		n5.vocab.19-tableware-and-cooking.さら
おさら	おさら	plate (polite)	थाली (आदर)	noun	19. Tableware and Cooking	おさらを あらいます。	I wash the plates.		n5.vocab.19-tableware-and-cooking.おさら
ちゃわん	ちゃわん	rice bowl	चावल का कटोरा	noun	19. Tableware and Cooking	ちゃわんに ごはんを 入れます。	I put rice in the bowl.		n5.vocab.19-tableware-and-cooking.ちゃわん
おわん	おわん	bowl	कटोरा	noun	19. Tableware and Cooking	おわんで みそしるを 飲みます。	I drink miso soup from a bowl.		n5.vocab.19-tableware-and-cooking.おわん
はし	はし	chopsticks	चॉपस्टिक्स	noun	19. Tableware and Cooking	はしで ごはんを 食べます。	I eat rice with chopsticks.		n5.vocab.19-tableware-and-cooking.はし
スプーン	スプーン	spoon	चम्मच	noun	19. Tableware and Cooking	スプーンで スープを 飲みます。	I eat soup with a spoon.		n5.vocab.19-tableware-and-cooking.スプーン
フォーク	フォーク	fork	काँटा	noun	19. Tableware and Cooking	フォークで サラダを 食べます。	I eat salad with a fork.		n5.vocab.19-tableware-and-cooking.フォーク
ナイフ	ナイフ	knife	चाकू	noun	19. Tableware and Cooking	ナイフで パンを 切ります。	I cut bread with a knife.		n5.vocab.19-tableware-and-cooking.ナイフ
コップ	コップ	cup, glass	गिलास	noun	19. Tableware and Cooking	コップに 水を 入れます。	I put water in the glass.		n5.vocab.19-tableware-and-cooking.コップ
カップ	カップ	cup (alt of コップ)	कप	noun	19. Tableware and Cooking	カップで コーヒーを 飲みます。	I drink coffee from a cup.		n5.vocab.19-tableware-and-cooking.カップ
れいぞうこ	れいぞうこ	refrigerator	फ़्रिज	noun	19. Tableware and Cooking	れいぞうこに ぎゅうにゅうが あります。	There's milk in the fridge.		n5.vocab.19-tableware-and-cooking.れいぞうこ
なべ	なべ	pot, pan	बर्तन / पैन	noun	19. Tableware and Cooking	なべで スープを つくります。	I make soup in the pot.		n5.vocab.19-tableware-and-cooking.なべ
いろ	いろ	color	रंग	noun	20. Colors	すきな いろは あおです。	My favorite color is blue.		n5.vocab.20-colors.いろ
白	しろ	white (noun)	सफ़ेद (संज्ञा)	noun	20. Colors	白は ゆきの 色です。	White is the color of snow.		n5.vocab.20-colors.白
白い	しろい	white (adj)	सफ़ेद	i-adj	20. Colors	白い シャツを きました。	I wore a white shirt.		n5.vocab.20-colors.白い
くろ	くろ	black (noun)	काला (संज्ञा)	noun	20. Colors	くろは よるの 色です。	Black is the color of night.		n5.vocab.20-colors.くろ
くろい	くろい	black (adj)	काला	i-adj	20. Colors	くろい かばんを もって います。	I have a black bag.		n5.vocab.20-colors.くろい
あか	あか	red (noun)	लाल (संज्ञा)	noun	20. Colors	あかは 花の 色です。	Red is the color of flowers.		n5.vocab.20-colors.あか
あかい	あかい	red (adj)	लाल	i-adj	20. Colors	あかい 花が きれいです。	The red flower is pretty.		n5.vocab.20-colors.あかい
あお	あお	blue (noun)	नीला (संज्ञा)	noun	20. Colors	あおは そらの 色です。	Blue is the color of the sky.		n5.vocab.20-colors.あお
あおい	あおい	blue (adj)	नीला	i-adj	20. Colors	あおい そらが すきです。	I like the blue sky.		n5.vocab.20-colors.あおい
きいろ	きいろ	yellow (noun)	पीला (संज्ञा)	noun	20. Colors	きいろは レモンの 色です。	Yellow is the color of lemons.		n5.vocab.20-colors.きいろ
きいろい	きいろい	yellow (adj)	पीला	i-adj	20. Colors	きいろい バナナです。	It's a yellow banana.		n5.vocab.20-colors.きいろい
ちゃいろ	ちゃいろ	brown	भूरा	noun	20. Colors	ちゃいろの くつを はきます。	I wear brown shoes.		n5.vocab.20-colors.ちゃいろ
